Award Title,Movie Title,Nominee Name(s),Won,Year,url
Animated Feature Film,Frozen,"Chris Buck, Jennifer Lee and Peter Del Vecho",1,2014,https://letterboxd.com/film/frozen-2013/
Animated Feature Film,The Croods,"Chris Sanders, Kirk DeMicco and Kristine Belson",0,2014,https://letterboxd.com/film/the-croods/
Animated Feature Film,Despicable Me 2,"Chris Renaud, Pierre Coffin and Chris Meledandri",0,2014,https://letterboxd.com/film/despicable-me-2/
Animated Feature Film,Ernest & Celestine,Benjamin Renner and Didier Brunner,0,2014,https://letterboxd.com/film/ernest-celestine/
Animated Feature Film,The Wind Rises,Hayao Miyazaki and Toshio Suzuki,0,2014,https://letterboxd.com/film/the-wind-rises/
Cinematography,Gravity,Emmanuel Lubezki,1,2014,https://letterboxd.com/film/gravity-2013/
Cinematography,The Grandmaster,Philippe Le Sourd,0,2014,https://letterboxd.com/film/the-grandmaster/
Cinematography,Inside Llewyn Davis,Bruno Delbonnel,0,2014,https://letterboxd.com/film/inside-llewyn-davis/
Cinematography,Nebraska,Phedon Papamichael,0,2014,https://letterboxd.com/film/nebraska/
Cinematography,Prisoners,Roger A. Deakins,0,2014,https://letterboxd.com/film/prisoners/
Costume Design,The Great Gatsby,Catherine Martin,1,2014,https://letterboxd.com/film/the-great-gatsby-2013/
Costume Design,American Hustle,Michael Wilkinson,0,2014,https://letterboxd.com/film/american-hustle/
Costume Design,The Grandmaster,William Chang Suk Ping,0,2014,https://letterboxd.com/film/the-grandmaster/
Costume Design,The Invisible Woman,Michael O'Connor,0,2014,https://letterboxd.com/film/the-invisible-woman-2013/
Costume Design,12 Years a Slave,Patricia Norris,0,2014,https://letterboxd.com/film/12-years-a-slave/
Directing,Gravity,Alfonso Cuarón,1,2014,https://letterboxd.com/film/gravity-2013/
Directing,American Hustle,David O. Russell,0,2014,https://letterboxd.com/film/american-hustle/
Directing,Nebraska,Alexander Payne,0,2014,https://letterboxd.com/film/nebraska/
Directing,12 Years a Slave,Steve McQueen,0,2014,https://letterboxd.com/film/12-years-a-slave/
Directing,The Wolf of Wall Street,Martin Scorsese,0,2014,https://letterboxd.com/film/the-wolf-of-wall-street/
Documentary (Feature),20 Feet from Stardom,"Morgan Neville, Gil Friesen and Caitrin Rogers",1,2014,https://letterboxd.com/film/20-feet-from-stardom/
Documentary (Feature),The Act of Killing,Joshua Oppenheimer and Signe Byrge Sørensen,0,2014,https://letterboxd.com/film/the-act-of-killing/
