Award Title,film_name,Nominee Name(s),Won,Year,url
Production Design,The Martian,Arthur Max and Celia Bobak,0,2016,https://letterboxd.com/film/the-martian/
Production Design,The Revenant,Jack Fisk and Hamish Purdy,0,2016,https://letterboxd.com/film/the-revenant-2015/
Short Film (Animated),Bear Story,Gabriel Osorio and Pato Escala,1,2016,https://letterboxd.com/film/bear-story/
Short Film (Animated),Prologue,Richard Williams and Imogen Sutton,0,2016,https://letterboxd.com/film/prologue-2015/
Short Film (Animated),Sanjay's Super Team,Sanjay Patel and Nicole Grindle,0,2016,https://letterboxd.com/film/sanjays-super-team/
Short Film (Animated),We Can't Live without Cosmos,Konstantin Bronzit,0,2016,https://letterboxd.com/film/we-cant-live-without-cosmos/
Short Film (Animated),World of Tomorrow,Don Hertzfeldt,0,2016,https://letterboxd.com/film/world-of-tomorrow/
Short Film (Live Action),Stutterer,Benjamin Cleary and Serena Armitage,1,2016,https://letterboxd.com/film/stutterer/
Short Film (Live Action),Ave Maria,Basil Khalil and Eric Dupont,0,2016,https://letterboxd.com/film/ave-maria-2015/
Short Film (Live Action),Day One,Henry Hughes,0,2016,https://letterboxd.com/film/day-one-2015/
Short Film (Live Action),Everything Will Be Okay (Alles Wird Gut),Patrick Vollrath,0,2016,https://letterboxd.com/film/everything-will-be-okay/
Short Film (Live Action),Shok,Jamie Donoughue,0,2016,https://letterboxd.com/film/shok/
Sound Editing,Mad Max: Fury Road,Mark Mangini and David White,1,2016,https://letterboxd.com/film/mad-max-fury-road/
Sound Editing,The Martian,Oliver Tarney,0,2016,https://letterboxd.com/film/the-martian/
Sound Editing,The Revenant,Martin Hernandez and Lon Bender,0,2016,https://letterboxd.com/film/the-revenant-2015/
Sound Editing,Sicario,Alan Robert Murray,0,2016,https://letterboxd.com/film/sicario-2015/
Sound Editing,Star Wars: The Force Awakens,Matthew Wood and David Acord,0,2016,https://letterboxd.com/film/star-wars-the-force-awakens/
Sound Mixing,Mad Max: Fury Road,"Chris Jenkins, Gregg Rudloff and Ben Osmo",1,2016,https://letterboxd.com/film/mad-max-fury-road/
Sound Mixing,Bridge of Spies,"Andy Nelson, Gary Rydstrom and Drew Kunin",0,2016,https://letterboxd.com/film/bridge-of-spies/
Sound Mixing,The Martian,"Paul Massey, Mark Taylor and Mac Ruth",0,2016,https://letterboxd.com/film/the-martian/
Sound Mixing,The Revenant,"Jon Taylor, Frank A. Montaño, Randy Thom and Chris Duesterdiek",0,2016,https://letterboxd.com/film/the-revenant-2015/
Sound Mixing,Star Wars: The Force Awakens,"Andy Nelson, Christopher Scarabosio and Stuart Wilson",0,2016,https://letterboxd.com/film/star-wars-the-force-awakens/
Visual Effects,Ex Machina,"Andrew Whitehurst, Paul Norris, Mark Ardington and Sara Bennett",1,2016,https://letterboxd.com/film/ex-machina-2015/
